"Date","Price","Open","High","Low","Change %"
"May 14, 2018","2,837.17","2,837.17","2,839.67","2,834.34","0.00%"
"May 11, 2018","2,837.17","2,826.21","2,850.55","2,799.14","0.39%"
"May 10, 2018","2,826.07","2,862.86","2,865.23","2,813.21","-1.35%"
"May 09, 2018","2,864.72","2,873.20","2,875.32","2,841.20","-0.29%"
"May 08, 2018","2,872.95","2,814.53","2,883.03","2,814.53","1.76%"
"May 07, 2018","2,823.20","2,822.55","2,834.80","2,808.65","0.04%"
"May 04, 2018","2,822.00","2,860.16","2,883.55","2,815.00","-1.34%"
"May 03, 2018","2,860.31","2,832.83","2,875.36","2,831.81","0.96%"
"May 02, 2018","2,833.00","2,800.89","2,842.70","2,798.29","0.98%"
"May 01, 2018","2,805.47","2,803.53","2,822.89","2,803.53","-0.11%"
"Apr 30, 2018","2,808.60","2,808.81","2,824.80","2,801.60","0.07%"
"Apr 27, 2018","2,806.70","2,817.45","2,819.44","2,794.72","-0.37%"
"Apr 26, 2018","2,817.01","2,812.76","2,824.80","2,794.17","0.10%"
"Apr 25, 2018","2,814.25","2,782.31","2,831.80","2,781.20","1.10%"
"Apr 24, 2018","2,783.60","2,815.71","2,817.51","2,773.58","-1.14%"
"Apr 23, 2018","2,815.74","2,762.68","2,818.55","2,759.92","2.02%"
"Apr 20, 2018","2,759.86","2,734.51","2,766.84","2,721.89","0.98%"
"Apr 19, 2018","2,733.00","2,710.62","2,738.00","2,700.72","0.78%"
"Apr 18, 2018","2,711.90","2,724.20","2,726.45","2,695.95","-0.51%"
"Apr 17, 2018","2,725.70","2,726.80","2,735.75","2,718.80","-0.10%"
"Apr 16, 2018","2,728.50","2,713.00","2,738.24","2,699.68","0.57%"
"Apr 13, 2018","2,713.00","2,707.70","2,719.60","2,684.76","0.20%"
"Apr 12, 2018","2,707.70","2,721.53","2,722.95","2,704.28","-0.52%"
"Apr 11, 2018","2,721.80","2,770.74","2,772.60","2,715.79","-1.82%"
"Apr 10, 2018","2,772.30","2,776.47","2,777.49","2,761.49","-0.17%"
"Apr 09, 2018","2,777.00","2,793.20","2,800.10","2,774.16","-0.57%"
"Apr 06, 2018","2,793.00","2,789.61","2,799.30","2,781.44","0.08%"
"Apr 05, 2018","2,790.75","2,792.01","2,793.85","2,774.73","-0.08%"
"Apr 04, 2018","2,793.00","2,778.88","2,799.44","2,777.46","0.44%"
"Apr 03, 2018","2,780.85","2,809.55","2,810.55","2,773.95","-0.97%"
"Apr 02, 2018","2,808.00","2,794.05","2,808.00","2,780.00","0.56%"
"Mar 30, 2018","2,792.50","2,795.05","2,795.05","2,792.32","0.07%"
"Mar 29, 2018","2,790.50","2,793.81","2,796.34","2,790.50","-0.09%"
"Mar 28, 2018","2,793.05","2,785.33","2,800.72","2,770.01","0.33%"
"Mar 27, 2018","2,783.75","2,797.25","2,802.55","2,767.27","-0.72%"
"Mar 26, 2018","2,803.80","2,845.60","2,846.80","2,796.60","-1.41%"
"Mar 23, 2018","2,844.00","2,860.00","2,861.30","2,840.16","-0.56%"
"Mar 22, 2018","2,860.00","2,854.25","2,867.90","2,843.20","0.25%"
"Mar 21, 2018","2,852.88","2,869.86","2,872.38","2,845.43","-0.62%"
"Mar 20, 2018","2,870.75","2,857.75","2,872.95","2,850.25","0.38%"
"Mar 19, 2018","2,860.00","2,858.50","2,864.23","2,855.00","0.12%"
"Mar 16, 2018","2,856.50","2,845.00","2,860.00","2,842.24","0.28%"
"Mar 15, 2018","2,848.45","2,844.15","2,866.15","2,840.05","0.19%"
"Mar 14, 2018","2,843.00","2,851.98","2,860.50","2,839.05","-0.38%"
"Mar 13, 2018","2,853.98","2,846.00","2,857.00","2,835.00","0.28%"
"Mar 12, 2018","2,846.00","2,866.80","2,869.90","2,844.60","-0.74%"
"Mar 09, 2018","2,867.30","2,876.50","2,885.30","2,859.74","-0.30%"
"Mar 08, 2018","2,876.00","2,860.00","2,880.92","2,853.40","0.33%"
"Mar 07, 2018","2,866.50","2,853.00","2,868.99","2,850.50","0.44%"
"Mar 06, 2018","2,854.00","2,855.50","2,860.00","2,831.00","-0.02%"
"Mar 05, 2018","2,854.47","2,868.82","2,876.12","2,846.82","-0.44%"
"Mar 02, 2018","2,867.00","2,883.00","2,905.00","2,859.50","-0.57%"
"Mar 01, 2018","2,883.50","2,867.00","2,893.38","2,854.80","0.58%"
"Feb 28, 2018","2,866.75","2,859.25","2,874.85","2,855.61","0.32%"
"Feb 27, 2018","2,857.50","2,841.50","2,866.50","2,838.66","0.62%"
"Feb 26, 2018","2,840.00","2,845.00","2,860.99","2,838.40","-0.18%"
"Feb 23, 2018","2,845.00","2,859.00","2,869.82","2,842.17","-0.50%"
"Feb 22, 2018","2,859.25","2,877.80","2,897.80","2,857.25","-0.77%"
"Feb 21, 2018","2,881.30","2,864.25","2,892.55","2,863.75","0.66%"
"Feb 20, 2018","2,862.50","2,836.25","2,872.00","2,836.25","0.94%"
"Feb 19, 2018","2,835.75","2,836.50","2,838.00","2,835.75","-0.01%"
"Feb 16, 2018","2,836.00","2,856.20","2,872.35","2,832.00","-0.67%"
"Feb 15, 2018","2,855.00","2,868.80","2,869.80","2,830.50","-0.51%"
"Feb 14, 2018","2,869.50","2,904.70","2,925.50","2,866.50","-1.18%"
"Feb 13, 2018","2,903.89","2,891.49","2,919.59","2,884.59","0.48%"
"Feb 12, 2018","2,889.90","2,936.00","2,937.51","2,888.50","-1.74%"
"Feb 09, 2018","2,940.99","2,887.59","2,949.47","2,881.47","1.87%"
"Feb 08, 2018","2,887.00","2,850.40","2,889.50","2,841.01","1.28%"
"Feb 07, 2018","2,850.40","2,829.75","2,850.50","2,816.75","0.73%"
"Feb 06, 2018","2,829.75","2,841.50","2,872.00","2,825.00","-0.41%"
"Feb 05, 2018","2,841.50","2,840.00","2,855.93","2,832.60","-0.02%"
"Feb 02, 2018","2,842.00","2,796.80","2,859.34","2,794.31","1.69%"
"Feb 01, 2018","2,794.80","2,830.40","2,830.40","2,792.65","-1.25%"
"Jan 31, 2018","2,830.20","2,852.15","2,852.15","2,826.25","-0.77%"
"Jan 30, 2018","2,852.15","2,836.73","2,852.15","2,819.80","0.54%"
"Jan 29, 2018","2,836.73","2,809.30","2,854.00","2,805.80","0.81%"
"Jan 26, 2018","2,814.00","2,790.30","2,820.20","2,779.82","0.84%"
"Jan 25, 2018","2,790.50","2,811.85","2,812.85","2,757.79","-0.77%"
"Jan 24, 2018","2,812.15","2,855.50","2,856.00","2,810.50","-1.51%"
"Jan 23, 2018","2,855.16","2,853.41","2,869.95","2,847.86","0.13%"
"Jan 22, 2018","2,851.45","2,844.10","2,861.40","2,837.00","0.19%"
"Jan 19, 2018","2,846.10","2,846.00","2,860.50","2,845.35","0.05%"
"Jan 18, 2018","2,844.75","2,839.70","2,846.00","2,828.25","0.05%"
"Jan 17, 2018","2,843.45","2,868.00","2,876.80","2,840.00","-0.72%"
"Jan 16, 2018","2,864.00","2,860.55","2,875.25","2,847.00","0.12%"
"Jan 15, 2018","2,860.55","2,856.00","2,860.55","2,856.00","0.05%"
"Jan 12, 2018","2,859.01","2,856.23","2,867.82","2,837.02","0.08%"
"Jan 11, 2018","2,856.70","2,885.09","2,892.15","2,856.70","-1.11%"
"Jan 10, 2018","2,888.84","2,910.64","2,912.74","2,888.49","-0.69%"
"Jan 09, 2018","2,908.90","2,907.30","2,920.00","2,899.21","-0.08%"
"Jan 08, 2018","2,911.30","2,910.30","2,913.30","2,909.10","0.17%"
"Jan 05, 2018","2,906.30","2,886.00","2,906.50","2,882.44","0.67%"
"Jan 04, 2018","2,887.00","2,902.00","2,908.99","2,873.05","-0.54%"
"Jan 03, 2018","2,902.81","2,931.88","2,936.63","2,900.65","-0.96%"
"Jan 02, 2018","2,930.82","2,980.72","2,985.61","2,929.59","-1.80%"
